world_rank,university_name,national_rank,total_score,alumni,award,hici,ns,pub,pcp,year
8,Columbia University,7,60.4,70.7,67.4,56.2,47.6,69.9,32.1,2010
8,Columbia University,7,60.4,69.6,67.4,57.1,50.8,67.5,31,2011
8,Columbia University,7,60.1,64.2,68,57.4,51.2,67.8,31,2012
8,Columbia University,7,59.8,66.1,66.4,57.4,49.8,68,31.9,2013
8,Columbia University,7,59.6,65.1,65.9,51.6,55,69.1,33.1,2014
8,Columbia University,7,58.8,63.5,65.9,52.1,51.9,68.8,33.2,2015
8,Princeton University,7,60.9,63.4,76.8,60.9,48.7,48.5,59.1,2005
8,Princeton University,7,58.6,61.1,75.3,59.6,43.5,47.3,58,2006
8,Princeton University,7,59.5,62.3,80.4,59.3,42.9,46.5,58.9,2007
8,Princeton University,7,58.9,59.3,80.4,61.9,40.5,44.8,59.3,2008
8,Princeton University,7,60.2,57.8,85.2,61.6,41.5,45.7,61.4,2009
7,Princeton University,6,60.8,56.4,84.8,61.1,43.3,44.3,65.5,2010
7,Princeton University,6,61.2,56.7,87.1,62.1,43.8,43.4,64.2,2011
7,Princeton University,6,62.1,52.3,91.3,62.2,44.4,44.5,66.3,2012
7,Princeton University,6,61.9,52.9,89.2,62.2,45.8,44,66.9,2013
6,Princeton University,5,60.7,52.1,88.5,57.1,46.2,44.2,68.1,2014
6,Princeton University,5,61,53.3,93.4,57.1,43,42.4,70.3,2015
9,University of Chicago,8,60.1,75.6,81.9,50.3,44.7,56.4,42.2,2005
8,University of Chicago,7,58.6,72.9,80.2,49.9,43.7,54.1,41.8,2006
9,University of Chicago,8,58.4,70.8,80.2,50.8,42.8,54.1,41.3,2007
9,University of Chicago,8,57.1,67.4,81.9,50.5,39.5,51.9,41.3,2008
9,University of Chicago,8,57,65.8,84.3,49.7,38.6,51.6,41.8,2009
9,University of Chicago,8,57.3,65.5,83.9,50.9,39.8,50.5,40,2010
9,University of Chicago,8,57.5,65,83.9,52,40.4,50.9,39.1,2011
9,University of Chicago,8,57.2,61.8,85.3,52.2,40.6,49.2,38.9,2012
9,University of Chicago,8,57.1,60.9,83.4,52.2,41.9,49.8,39.5,2013
9,University of Chicago,8,57.4,61.4,86.3,48.4,43,50.7,41.5,2014
9,University of Chicago,8,57.1,59.8,86.3,49,42.9,49.8,42,2015
10,University of Oxford,2,59.7,64.3,59.1,48.4,55.6,68.4,53.2,2005
10,University of Oxford,2,57.6,62,57.9,48,54.3,66,46,2006
10,University of Oxford,2,56.4,60.3,57.9,46.3,52.3,65.4,44.7,2007
10,University of Oxford,2,56.8,59,57.9,48.4,52,66,45.7,2008
10,University of Oxford,2,56.3,57.6,57.9,48.9,49.8,66.1,45.7,2009
10,University of Oxford,2,56.4,56.2,57.6,48.8,49.8,68.5,41.1,2010
10,University of Oxford,2,56.4,55.5,57.6,48.9,49.7,69.5,40,2011
10,University of Oxford,2,56.1,51.2,56.6,48.9,52.1,68.9,40.3,2012
10,University of Oxford,2,55.9,51.8,55.3,48.9,51.3,69.9,41.2,2013
9,University of Oxford,2,57.4,51,54.9,52.8,52.7,72.7,43,2014
10,University of Oxford,2,56.6,49.7,54.9,52.3,51.9,70.9,43.1,2015
11,Yale University,9,56.9,52.1,44.5,60.3,57.2,63.9,49.3,2005
11,Yale University,9,55.9,50.3,43.6,59.1,56.6,63,49.3,2006
11,Yale University,9,55.9,50.9,43.6,57.9,57.2,63.2,48.9,2007
11,Yale University,9,54.9,48.5,43.6,57,55.7,62.4,48.7,2008
11,Yale University,9,55.2,49.8,43.6,57.6,55.7,62.7,49.5,2009
11,Yale University,9,54.6,48.6,44.9,58.5,56.3,62,37,2010
11,Yale University,9,54.8,49.6,44.9,59.5,57.4,61.6,35.5,2011
11,Yale University,9,54.8,45.7,45.5,59.7,58,62.3,35.9,2012
11,Yale University,9,55.4,47.5,44.5,59.7,60.7,62.4,36.3,2013
11,Yale University,9,55.2,48.8,50.4,51,61.5,62.9,37.7,2014
11,Yale University,9,54.5,47.6,50.4,51,58.8,63,37.8,2015
